barcode/sku,product name,brand,category,price,mrp,stock,description,image
1,COLOUR GUARD 35ML,COLOUR,Stationery & Miscellaneous,65,68,5,,https://www.google.com/imgres?q=color%20guard%2025%20ml&imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F71Nma96vbZL._AC_UF1000%2C1000_QL80_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FMr-Shine-Anti-Fade-Formula-Prevent-Staining%2Fdp%2FB0D5HP9Q5R&docid=ifOS56S-BLa6HM&tbnid=mdX7LzQ1m9nMFM&vet=12ahUKEwiZnq2-9YaWAxUCxjgGHc55KzAQnPAOegQIRhAA..i&w=1000&h=650&hcb=2&ved=2ahUKEwiZnq2-9YaWAxUCxjgGHc55KzAQnPAOegQIRhAA
2,VEDA CASTOR OIL100ML,VEDA,Health & Wellness,146,148,7,,images/product_2.jpg?t=1784581137912
14,CASIO CALCULATOR FX-82MS,CASIO,Stationery & Miscellaneous,620,625,5,,https://placehold.co/300x300?text=CASIO
94,AMBIPUR AF LAVENDER BOUQUET 275GM,AMBIPUR,Stationery & Miscellaneous,270,299,3,,https://placehold.co/300x300?text=AMBIPUR
126,AMBIPUR CAR FRSHNR VANILLA BOUQUET 7.5ml,AMBIPUR,Stationery & Miscellaneous,315,349,3,,https://placehold.co/300x300?text=AMBIPUR
177,AMBIPUR RF LOVE FRESH 180gm,AMBIPUR,Stationery & Miscellaneous,250,299,1,,https://placehold.co/300x300?text=AMBIPUR
205,AMBIPUR CAR REFIL LAVENDER 7.5ml,AMBIPUR,Stationery & Miscellaneous,225,249,5,,https://placehold.co/300x300?text=AMBIPUR
253,AMBIPUR CAR FRESH LEMON 75g,AMBIPUR,Stationery & Miscellaneous,310,349,1,,https://placehold.co/300x300?text=AMBIPUR
279,DURACELL ULTRA D2 ALKALINE 1.5V,DURACELL,Stationery & Miscellaneous,449,450,1,,https://placehold.co/300x300?text=DURACELL
280,PEDIGREE DENTASTICX 180GM,PEDIGREE,Stationery & Miscellaneous,207,210,1,,https://placehold.co/300x300?text=PEDIGREE
281,BLUE LADY RASASI BS 200ML,BLUE,Stationery & Miscellaneous,240,349,1,,https://placehold.co/300x300?text=BLUE
282,BLUE FOR MEN EAU DE TOILETTE 100ML,BLUE,Stationery & Miscellaneous,1040,1200,1,,https://placehold.co/300x300?text=BLUE
283,CLOROX WHITEST WHITES 470ml,CLOROX,Stationery & Miscellaneous,255,260,-1,,https://placehold.co/300x300?text=CLOROX
284,MAGGI CHICKEN STOCK CUBE 20G,MAGGI,Stationery & Miscellaneous,34,35,1,,https://placehold.co/300x300?text=MAGGI
285,KITKAT CHUNKY CARAMEL 42g,KITKAT,Stationery & Miscellaneous,79,80,-9,,https://placehold.co/300x300?text=KITKAT
293,INDIA GATE BASMATHI DUBAR 1KG,INDIA,Stationery & Miscellaneous,143,146,6,,https://placehold.co/300x300?text=INDIA
294,INDIA GATE BASMATHI FEAST ROZZANA 1KG,INDIA,Stationery & Miscellaneous,115,118,1,,https://placehold.co/300x300?text=INDIA
295,NONI BLACK HAIR MAGIC 20ML,NONI,Stationery & Miscellaneous,89,90,44,,https://placehold.co/300x300?text=NONI
296,NONI BLACK HAIR MAGIC 12ml,NONI,Stationery & Miscellaneous,49,50,20,,https://placehold.co/300x300?text=NONI
298,ROYAL MIRAGE SILVER BS 200ML,ROYAL,Stationery & Miscellaneous,250,325,1,,https://placehold.co/300x300?text=ROYAL
3,MARQUIS POUR FEMME PERFUMES 100ml,MARQUIS,Fragrances & Deodorants,1650,1999,2,,https://placehold.co/300x300?text=MARQUIS
10,YARDLEY LONDAN CLASSIC BODY SPRAY MEN 150M,YARDLEY,Fragrances & Deodorants,205,225,2,,https://placehold.co/300x300?text=YARDLEY
286,YARDLEY LONDON ROSE ROLL ON 50ML,YARDLEY,Fragrances & Deodorants,205,225,3,,https://placehold.co/300x300?text=YARDLEY
287,YARDLEY ENGLISH LAVENDER ROLL ON 50ML,YARDLEY,Fragrances & Deodorants,210,249,3,,https://placehold.co/300x300?text=YARDLEY
288,YARDLEY ENGLISH BLOSSOM ROLL ON 50ML,YARDLEY,Fragrances & Deodorants,210,249,1,,https://placehold.co/300x300?text=YARDLEY
289,YARDLEY DEO ROOL-ON ENGLISH ROSE,YARDLEY,Fragrances & Deodorants,210,249,1,,https://placehold.co/300x300?text=YARDLEY
290,YARDLEY GENTLEMAN CLASSIC DEO ROLL ON 50ML,YARDLEY,Fragrances & Deodorants,205,225,2,,https://placehold.co/300x300?text=YARDLEY
